Inference for Stan model: jhb_ordinal_hurdle_model_model
2 chains: each with iter=(5000,5000); warmup=(0,0); thin=(1,1); 10000 iterations saved.

Warmup took (51891, 52317) seconds, 29 hours total
Sampling took (207010, 208747) seconds, 115 hours total

                    Mean     MCSE   StdDev        5%       50%       95%    N_Eff  N_Eff/s    R_hat
lp__            -4.9e+04  5.0e+00  1.2e+02  -4.9e+04  -4.9e+04  -4.9e+04  5.7e+02  1.4e-03  1.0e+00
accept_stat__    9.0e-01  1.2e-03  1.1e-01   6.9e-01   9.3e-01   1.0e+00  7.9e+03  1.9e-02  1.0e+00
stepsize__       1.8e-02  5.5e-04  5.5e-04   1.7e-02   1.8e-02   1.8e-02  1.0e+00  2.4e-06  3.7e+12
treedepth__      8.0e+00  4.0e-03  1.6e-01   8.0e+00   8.0e+00   8.0e+00  1.5e+03  3.7e-03  1.0e+00
n_leapfrog__     2.5e+02  2.6e-01  1.0e+01   2.6e+02   2.6e+02   2.6e+02  1.5e+03  3.5e-03  1.0e+00
divergent__      3.1e-03  1.4e-03  5.6e-02   0.0e+00   0.0e+00   0.0e+00  1.7e+03  4.1e-03  1.0e+00
energy__         5.6e+04  5.3e+00  1.4e+02   5.6e+04   5.6e+04   5.6e+04  7.4e+02  1.8e-03  1.0e+00
alpha           -4.3e-01  7.0e-03  3.2e-01  -9.4e-01  -4.3e-01   8.1e-02  2.1e+03  4.9e-03  1.0e+00
beta            -8.4e-01  5.6e-03  3.3e-01  -1.4e+00  -8.4e-01  -3.0e-01  3.5e+03  8.4e-03  1.0e+00
sigma            8.5e-01  2.0e-04  2.1e-02   8.2e-01   8.5e-01   8.9e-01  1.1e+04  2.8e-02  1.0e+00
alpha_miss       1.5e-01  7.0e-03  3.8e-01  -4.6e-01   1.4e-01   7.7e-01  2.9e+03  7.0e-03  1.0e+00
beta_miss        3.8e-01  1.2e-04  1.7e-02   3.6e-01   3.8e-01   4.1e-01  2.1e+04  4.9e-02  1.0e+00
delta            2.8e-01  6.1e-03  3.0e-01  -2.2e-01   2.9e-01   7.6e-01  2.4e+03  5.8e-03  1.0e+00
gamma            1.0e-02  1.7e-03  1.1e-01  -1.7e-01   1.0e-02   1.9e-01  4.3e+03  1.0e-02  1.0e+00
delta_miss      -5.1e+00  5.9e-03  4.4e-01  -5.8e+00  -5.1e+00  -4.4e+00  5.5e+03  1.3e-02  1.0e+00
gamma_miss       4.0e+00  2.0e-03  1.9e-01   3.7e+00   4.0e+00   4.3e+00  8.5e+03  2.0e-02  1.0e+00
epsilon          4.8e-01  6.9e-03  1.3e-01   2.5e-01   4.9e-01   6.6e-01  3.3e+02  8.0e-04  1.0e+00
Beta[1]          1.1e-01  3.6e-04  2.5e-02   6.7e-02   1.1e-01   1.5e-01  4.8e+03  1.2e-02  1.0e+00
Beta[2]         -1.3e-02  3.9e-04  2.9e-02  -6.1e-02  -1.3e-02   3.6e-02  5.8e+03  1.4e-02  1.0e+00
Beta[3]          2.4e-02  3.8e-04  3.0e-02  -2.5e-02   2.4e-02   7.3e-02  6.2e+03  1.5e-02  1.0e+00
Beta[4]          8.7e-03  4.1e-04  3.2e-02  -4.4e-02   9.0e-03   6.0e-02  5.9e+03  1.4e-02  1.0e+00
Beta[5]         -2.2e-01  1.5e-03  1.1e-01  -3.9e-01  -2.2e-01  -4.5e-02  5.2e+03  1.3e-02  1.0e+00
Beta[6]          5.4e-02  8.4e-04  6.0e-02  -4.4e-02   5.4e-02   1.5e-01  5.1e+03  1.2e-02  1.0e+00
Beta[7]          5.8e-02  6.2e-04  4.7e-02  -1.9e-02   5.8e-02   1.4e-01  5.7e+03  1.4e-02  1.0e+00
Beta[8]         -4.9e-02  9.0e-04  6.9e-02  -1.6e-01  -4.9e-02   6.5e-02  5.9e+03  1.4e-02  1.0e+00
Beta_miss[1]     5.1e-02  8.9e-04  5.3e-02  -3.5e-02   5.0e-02   1.4e-01  3.5e+03  8.4e-03  1.0e+00
Beta_miss[2]    -7.3e-02  9.9e-04  5.4e-02  -1.6e-01  -7.3e-02   1.6e-02  2.9e+03  7.0e-03  1.0e+00
Beta_miss[3]    -4.4e-03  1.1e-03  5.5e-02  -9.5e-02  -4.9e-03   8.8e-02  2.7e+03  6.6e-03  1.0e+00
Beta_miss[4]    -7.6e-02  1.1e-03  5.6e-02  -1.7e-01  -7.7e-02   1.5e-02  2.7e+03  6.4e-03  1.0e+00
Beta_miss[5]    -5.9e-02  3.0e-03  1.7e-01  -3.4e-01  -5.6e-02   2.2e-01  3.3e+03  8.0e-03  1.0e+00
Beta_miss[6]     2.4e-02  1.7e-03  9.7e-02  -1.3e-01   2.3e-02   1.8e-01  3.1e+03  7.5e-03  1.0e+00
Beta_miss[7]     6.8e-02  1.5e-03  8.2e-02  -6.5e-02   6.9e-02   2.0e-01  2.8e+03  6.7e-03  1.0e+00
Beta_miss[8]     6.2e-03  2.2e-03  1.2e-01  -1.9e-01   6.3e-03   2.0e-01  2.9e+03  7.0e-03  1.0e+00
Gamma[1]         9.3e-02  5.5e-04  4.6e-02   1.8e-02   9.2e-02   1.7e-01  7.2e+03  1.7e-02  1.0e+00
Gamma[2]        -1.5e-01  6.6e-04  5.3e-02  -2.4e-01  -1.5e-01  -6.8e-02  6.6e+03  1.6e-02  1.0e+00
Gamma[3]         7.9e-02  6.8e-04  5.3e-02  -7.2e-03   7.8e-02   1.7e-01  6.0e+03  1.4e-02  1.0e+00
Gamma[4]         4.6e-02  6.5e-04  5.4e-02  -4.3e-02   4.5e-02   1.4e-01  7.0e+03  1.7e-02  1.0e+00
Gamma[5]         7.6e-02  2.2e-03  1.6e-01  -1.9e-01   7.6e-02   3.4e-01  5.3e+03  1.3e-02  1.0e+00
Gamma[6]        -7.8e-02  1.3e-03  9.2e-02  -2.3e-01  -7.8e-02   7.4e-02  5.2e+03  1.2e-02  1.0e+00
Gamma[7]        -1.5e-01  1.0e-03  8.0e-02  -2.9e-01  -1.5e-01  -2.2e-02  6.3e+03  1.5e-02  1.0e+00
Gamma[8]         1.3e-01  1.4e-03  1.1e-01  -5.7e-02   1.2e-01   3.1e-01  6.2e+03  1.5e-02  1.0e+00
Gamma[9]         5.5e-03  6.7e-04  5.7e-02  -8.9e-02   5.9e-03   1.0e-01  7.3e+03  1.8e-02  1.0e+00
Gamma_miss[1]   -8.0e-02  3.2e-03  2.9e-01  -5.9e-01  -5.8e-02   3.6e-01  8.0e+03  1.9e-02  1.0e+00
Gamma_miss[2]   -2.8e-01  2.8e-03  2.5e-01  -6.9e-01  -2.7e-01   1.3e-01  7.9e+03  1.9e-02  1.0e+00
Gamma_miss[3]   -2.9e-01  2.6e-03  2.3e-01  -6.7e-01  -2.9e-01   7.7e-02  7.9e+03  1.9e-02  1.0e+00
Gamma_miss[4]   -2.9e-01  2.7e-03  2.2e-01  -6.5e-01  -2.9e-01   7.5e-02  6.8e+03  1.6e-02  1.0e+00
Gamma_miss[5]   -8.5e-03  7.1e-03  6.0e-01  -1.0e+00   1.0e-03   9.5e-01  7.0e+03  1.7e-02  1.0e+00
Gamma_miss[6]   -6.5e-02  4.3e-03  3.5e-01  -6.3e-01  -6.9e-02   5.1e-01  6.5e+03  1.6e-02  1.0e+00
Gamma_miss[7]    1.2e-01  3.5e-03  3.0e-01  -3.8e-01   1.1e-01   6.2e-01  7.6e+03  1.8e-02  1.0e+00
Gamma_miss[8]   -4.7e-02  4.6e-03  4.1e-01  -7.1e-01  -4.8e-02   6.3e-01  7.8e+03  1.9e-02  1.0e+00
Gamma_miss[9]   -4.9e+00  3.3e-03  2.8e-01  -5.3e+00  -4.9e+00  -4.4e+00  7.4e+03  1.8e-02  1.0e+00
kappa[1]         4.0e-02  2.8e-04  2.6e-02   7.5e-03   3.5e-02   9.1e-02  9.0e+03  2.2e-02  1.0e+00
kappa[2]         2.0e-01  3.4e-03  9.1e-02   5.5e-02   1.9e-01   3.5e-01  7.3e+02  1.8e-03  1.0e+00
sigma_j[1]       2.9e-01  1.3e-03  5.3e-02   2.1e-01   2.9e-01   3.8e-01  1.7e+03  4.0e-03  1.0e+00
sigma_j[2]       7.8e-01  8.6e-03  1.9e-01   4.5e-01   7.8e-01   1.1e+00  5.1e+02  1.2e-03  1.0e+00
sigma_j[3]       8.0e-01  7.2e-04  4.1e-02   7.3e-01   8.0e-01   8.7e-01  3.2e+03  7.7e-03  1.0e+00
sigma_j[4]       5.0e-01  1.5e-03  7.3e-02   3.8e-01   5.0e-01   6.2e-01  2.4e+03  5.9e-03  1.0e+00
sigma_j[5]       3.5e-01  1.2e-03  6.1e-02   2.5e-01   3.5e-01   4.5e-01  2.7e+03  6.5e-03  1.0e+00
sigma_j[6]       2.1e+00  2.8e-03  2.0e-01   1.8e+00   2.1e+00   2.5e+00  5.1e+03  1.2e-02  1.0e+00
sigma_g[1]       8.2e-01  3.6e-03  2.2e-01   5.4e-01   7.8e-01   1.2e+00  3.7e+03  8.9e-03  1.0e+00
sigma_g[2]       8.6e-01  3.5e-03  2.6e-01   5.2e-01   8.2e-01   1.4e+00  5.7e+03  1.4e-02  1.0e+00
sigma_g[3]       9.8e-01  4.0e-03  2.7e-01   6.3e-01   9.4e-01   1.5e+00  4.5e+03  1.1e-02  1.0e+00
sigma_g[4]       6.5e-01  2.7e-03  2.0e-01   4.0e-01   6.2e-01   1.0e+00  5.5e+03  1.3e-02  1.0e+00
sigma_g[5]       2.5e-01  1.4e-03  1.0e-01   1.2e-01   2.3e-01   4.3e-01  5.5e+03  1.3e-02  1.0e+00
sigma_g[6]       2.5e-01  2.7e-03  1.9e-01   2.4e-02   2.1e-01   5.9e-01  4.8e+03  1.2e-02  1.0e+00
sigma_jg[1]      5.8e-01  7.0e-04  3.8e-02   5.2e-01   5.8e-01   6.4e-01  2.9e+03  7.1e-03  1.0e+00
sigma_jg[2]      9.8e-01  6.5e-03  1.5e-01   7.3e-01   9.7e-01   1.2e+00  5.5e+02  1.3e-03  1.0e+00
sigma_jg[3]      2.9e-01  2.3e-04  1.6e-02   2.6e-01   2.9e-01   3.1e-01  4.6e+03  1.1e-02  1.0e+00
sigma_jg[4]      8.1e-01  2.2e-03  7.4e-02   6.9e-01   8.1e-01   9.3e-01  1.1e+03  2.6e-03  1.0e+00
sigma_jg[5]      1.2e-01  4.5e-03  8.8e-02   1.0e-02   9.9e-02   2.9e-01  3.9e+02  9.3e-04  1.0e+00
sigma_jg[6]      1.2e-01  9.4e-04  8.8e-02   1.0e-02   9.9e-02   2.8e-01  8.7e+03  2.1e-02  1.0e+00
L_j[1,1]         1.0e+00      nan  4.5e-14   1.0e+00   1.0e+00   1.0e+00      nan      nan      nan
L_j[1,2]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
