"dog_id","length_of_stay","number_of_total_observations","sex","latest_weight","estimated_age_at_departure","neuter_status","source_type","adoption_site"
1,13,35,"Male",14.4,1.534246575,"On Site","Return","Old Windsor"
2,498,2785,"Male",10,2.863013699,"On Site","Gift","Brands Hatch"
3,11,40,"Female",5.8,6.969863014,"On Site","Return","Old Windsor"
4,17,97,"Female",10.6,1.306849315,"On Site","Return","Brands Hatch"
5,170,774,"Male",16.4,8.964383562,"Yes","Return","Brands Hatch"
6,28,159,"Female",13.2,0.9452054795,"On Site","Return","Brands Hatch"
7,129,513,"Male",35.5,0.7260273973,"On Site","Gift","Old Windsor"
8,60,162,"Male",30.95,2.090410959,"Yes","Gift","Battersea"
9,27,95,"Male",14.5,1.934246575,"Yes","Return","Old Windsor"
10,17,52,"Male",28,1.545205479,"On Site","Return","Old Windsor"
11,13,51,"Female",13,1.123287671,"On Site","Return","Old Windsor"
12,31,99,"Male",39,3.632876712,"On Site","Gift","Old Windsor"
13,5,26,"Female",17.1,4.010958904,"On Site","Return","Battersea"
14,23,127,"Male",15.6,2.052054795,"On Site","Gift","Brands Hatch"
15,54,268,"Male",25.4,8.646575342,"On Site","Gift","Brands Hatch"
16,11,58,"Male",8.4,1.457534247,"Yes","Gift","Brands Hatch"
17,31,93,"Male",4.7,1.493150685,"Yes","Gift","Old Windsor"
18,10,31,"Female",17.9,6.035616438,"Yes","Gift","Battersea"
19,15,79,"Male",6.5,2.55890411,"Yes","Gift","Brands Hatch"
20,56,273,"Female",21.2,1.652054795,"On Site","Stray","Old Windsor"
21,67,446,"Female",19.5,2.512328767,"On Site","Gift","Brands Hatch"
22,239,1204,"Male",20,3.153424658,"On Site","Stray","Brands Hatch"
23,26,155,"Male",16.8,6.068493151,"Yes","Gift","Old Windsor"
24,57,297,"Male",23.5,1.057534247,"On Site","Gift","Old Windsor"
25,17,92,"Female",15.9,1.479452055,"On Site","Gift","Brands Hatch"
26,62,414,"Female",26.3,5.282191781,"On Site","Gift","Brands Hatch"
27,65,310,"Female",19.5,1.295890411,"On Site","Gift","Old Windsor"
28,24,94,"Male",20.2,6.063013699,"Yes","Return","Old Windsor"
29,41,277,"Female",25.7,7.167123288,"Yes","Gift","Brands Hatch"
30,27,158,"Male",33.2,1.071232877,"Yes","Gift","Old Windsor"
31,48,282,"Male",NA,2.630136986,"Yes","Gift","Brands Hatch"
32,26,147,"Female",16.1,4.854794521,"Yes","Gift","Brands Hatch"
33,23,105,"Male",9,4.060273973,"On Site","Stray","Old Windsor"
34,3,18,"Male",7.2,0.2465753425,"On Site","Gift","Old Windsor"
35,149,737,"Male",32,8.906849315,"Yes","Gift","Brands Hatch"
36,34,133,"Female",20.5,1.591780822,"On Site","Gift","Old Windsor"
37,35,183,"Female",15.8,0.3616438356,"On Site","Stray","Old Windsor"
38,23,100,"Female",7.1,0.9616438356,"On Site","Gift","Brands Hatch"
39,13,74,"Male",17.4,3.049315068,"On Site","Gift","Brands Hatch"
40,23,90,"Female",6,2.561643836,"On Site","Gift","Old Windsor"
41,28,103,"Male",21,2.575342466,"Yes","Gift","Old Windsor"
42,4,27,"Male",24.3,3.843835616,"On Site","Return","Brands Hatch"
43,23,121,"Female",6.2,8.742465753,"On Site","Return","Brands Hatch"
44,16,75,"Female",24.4,2.084931507,"On Site","Gift","Brands Hatch"
45,14,52,"Male",3.3,0.2876712329,"No","Stray","Old Windsor"
46,10,29,"Female",5.3,6.476712329,"On Site","Stray","Old Windsor"
47,10,42,"Male",5.8,0.6575342466,"On Site","Gift","Old Windsor"
48,43,97,"Male",21.35,1.498630137,"On Site","Gift","Battersea"
49,13,52,"Male",6.5,1.810958904,"Yes","Gift","Old Windsor"
50,12,63,"Male",10,1.531506849,"On Site","Stray","Old Windsor"
51,22,119,"Male",19.8,6.057534247,"Yes","Gift","Brands Hatch"
52,8,44,"Female",18,2.520547945,"","Gift","Old Windsor"
53,7,31,"Female",9.8,2.517808219,"Yes","Gift","Brands Hatch"
54,11,60,"Male",19.1,6.02739726,"Yes","Gift","Brands Hatch"
55,27,161,"Male",4.6,6.115068493,"On Site","Gift","Brands Hatch"
56,35,276,"Female",18.85,0.1589041096,"On Site","Gift","Old Windsor"
57,61,231,"Male",19,1.665753425,"Yes","Gift","Old Windsor"
58,72,554,"Female",15.5,0.1945205479,"On Site","Stray","Old Windsor"
59,47,154,"Female",27.9,2.649315068,"Yes","Gift","Battersea"
60,30,182,"Female",13.9,7.449315068,"On Site","Gift","Brands Hatch"
61,30,162,"Male",19.6,8.580821918,"Yes","Gift","Brands Hatch"
62,9,40,"Male",14.85,6.030136986,"Yes","Stray","Battersea"
63,105,263,"Male",24,5.805479452,"Yes","Gift","Old Windsor"
64,40,103,"Male",27,11.60821918,"On Site","Gift","Old Windsor"
65,18,32,"Male",19.2,3.356164384,"On Site","Return","Battersea"
66,128,704,"Female",22.7,3.408219178,"Yes","Gift","Brands Hatch"
67,25,82,"Male",8.5,1.567123288,"On Site","Stray","Old Windsor"
68,28,97,"Male",52,2.575342466,"On Site","Stray","Old Windsor"
69,29,69,"Male",8.7,1.578082192,"Yes","Gift","Battersea"
70,28,70,"Male",24.8,11.96712329,"On Site","Gift","Battersea"
71,16,40,"Female",14.2,4.04109589,"Yes","Gift","Old Windsor"
72,40,229,"Female",19.3,5.736986301,"Yes","Gift","Brands Hatch"
73,12,64,"Male",NA,5.660273973,"Yes","Gift","Brands Hatch"
74,20,69,"Female",7.1,4.052054795,"On Site","Gift","Battersea"
75,19,62,"Male",13.2,11.55068493,"Yes","Gift","Battersea"
76,129,702,"Male",29.5,10.30136986,"On Site","Stray","Brands Hatch"
77,14,32,"Female",12.5,2.649315068,"Yes","Gift","Battersea"
78,14,47,"Female",26.65,4.663013699,"On Site","Gift","Battersea"
79,15,53,"Female",20.5,2.539726027,"On Site","Stray","Old Windsor"
80,10,39,"Male",4.7,6.024657534,"On Site","Stray","Battersea"
81,23,58,"Male",28,3.142465753,"On Site","Gift","Old Windsor"
82,9,53,"Female",5.2,3.02739726,"On Site","Gift","Brands Hatch"
