"dog_id" "context_id" "survey_number" "days_after_adoption" "behaviour_code_name" "behaviour_code_number" "behaviour_code_colour"
1 1 "First" 16 "Playful" 2 1
1 1 "Second" 20 "Reactive to Dogs Non Aggressive" 9 2
2 1 "First" 18 "Uncomfortable Avoids" 6 2
2 1 "Second" 40 "Uncomfortable Avoids" 6 2
3 1 "First" 21 "Reactive to Dogs Aggressive" 16 3
3 1 "Second" 35 "Uncomfortable Avoids" 6 2
4 1 "First" 26 "Friendly" 1 1
4 1 "Second" 47 "Friendly" 1 1
5 1 "First" 21 "Reactive to Dogs Aggressive" 16 3
5 1 "Second" 21 NA NA NA
6 1 "First" 19 "Friendly" 1 1
6 1 "Second" 40 "Friendly" 1 1
7 1 "First" 24 "Playful" 2 1
7 1 "Second" 53 "Playful" 2 1
8 1 "First" 19 "Playful" 2 1
8 1 "Second" 19 NA NA NA
9 1 "First" 15 "Friendly" 1 1
9 1 "Second" 42 "Playful" 2 1
10 1 "First" 15 "Playful" 2 1
10 1 "Second" 35 "Playful" 2 1
11 1 "First" 18 "Playful +" 13 2
11 1 "Second" 18 NA NA NA
12 1 "First" 18 "Playful" 2 1
12 1 "Second" 18 NA NA NA
13 1 "First" 21 "Playful" 2 1
13 1 "Second" 21 NA NA NA
14 1 "First" 14 "Independent" 3 1
14 1 "Second" 56 "Friendly" 1 1
15 1 "First" 19 "Reactive to Dogs Aggressive" 16 3
15 1 "Second" 44 "Independent" 3 1
16 1 "First" 17 "Playful" 2 1
16 1 "Second" 45 "Reactive to Dogs Non Aggressive" 9 2
17 1 "First" 21 "Playful" 2 1
17 1 "Second" 37 "Friendly" 1 1
18 1 "First" 21 "Friendly" 1 1
18 1 "Second" 21 NA NA NA
19 1 "First" 21 "Uncomfortable Avoids" 6 2
19 1 "Second" 42 "Submissive" 4 1
20 1 "First" 22 "Friendly" 1 1
20 1 "Second" 22 NA NA NA
21 1 "First" 21 "Reactive to Dogs Non Aggressive" 9 2
21 1 "Second" 49 "Reactive to Dogs Non Aggressive" 9 2
22 1 "First" 19 "Friendly" 1 1
22 1 "Second" 44 "Friendly" 1 1
23 1 "First" 19 "Playful" 2 1
23 1 "Second" 42 "Playful" 2 1
24 1 "First" 19 "Friendly" 1 1
24 1 "Second" 19 NA NA NA
25 1 "First" 20 "Playful" 2 1
25 1 "Second" 41 "Playful" 2 1
26 1 "First" 14 "Independent" 3 1
26 1 "Second" 14 NA NA NA
27 1 "First" 22 "Friendly" 1 1
27 1 "Second" 43 "Friendly" 1 1
28 1 "First" 16 "Reactive to Dogs Non Aggressive" 9 2
28 1 "Second" 43 "Friendly" 1 1
29 1 "First" 19 "Reactive to Dogs Aggressive" 16 3
29 1 "Second" 42 "Uncomfortable Avoids" 6 2
30 1 "First" 27 "Playful" 2 1
30 1 "Second" 27 NA NA NA
31 1 "First" 16 "Friendly" 1 1
31 1 "Second" 16 NA NA NA
32 1 "First" 23 "Independent" 3 1
32 1 "Second" 23 NA NA NA
33 1 "First" 21 "Reactive to Dogs Non Aggressive" 9 2
33 1 "Second" 21 NA NA NA
34 1 "First" 24 "Playful" 2 1
34 1 "Second" 41 "Playful" 2 1
35 1 "First" 20 "Reactive to Dogs Aggressive" 16 3
35 1 "Second" 37 "Reactive to Dogs Aggressive" 16 3
36 1 "First" 18 "No opinion" NA NA
36 1 "Second" 38 "Playful" 2 1
37 1 "First" 19 "Playful" 2 1
37 1 "Second" 19 NA NA NA
38 1 "First" 17 "Friendly" 1 1
38 1 "Second" 17 NA NA NA
39 1 "First" 24 "Playful" 2 1
39 1 "Second" 24 NA NA NA
40 1 "First" 19 "Independent" 3 1
40 1 "Second" 19 NA NA NA
41 1 "First" 14 "Reactive to Dogs Aggressive" 16 3
41 1 "Second" 14 NA NA NA
42 1 "First" 17 "Playful +" 13 2
42 1 "Second" 17 NA NA NA
43 1 "First" 15 "Friendly" 1 1
43 1 "Second" 52 "Reactive to Dogs Aggressive" 16 3
44 1 "First" 16 "Playful" 2 1
44 1 "Second" 16 NA NA NA
45 1 "First" 17 "No opinion" NA NA
45 1 "Second" 17 NA NA NA
46 1 "First" 19 "No opinion" NA NA
46 1 "Second" 19 NA NA NA
47 1 "First" 18 "Playful" 2 1
47 1 "Second" 18 NA NA NA
48 1 "First" 46 "Overstimulated" 14 3
48 1 "Second" 67 "Overstimulated" 14 3
49 1 "First" 15 "Friendly" 1 1
