"dog_id" "context_id" "day_since_arrival" "behaviour_code_name" "behaviour_code_number" "behaviour_code_colour"
1 1 0 NA NA NA
1 2 0 "[RPNA] React to People Non-Aggressive" 9 2
1 3 0 NA NA NA
1 4 0 "[RE] Relaxed" 1 1
1 5 0 "[RPNA] React to People Non-Aggressive" 7 2
1 6 0 "[RE] Relaxed" 1 1
1 7 0 "[PL] Playful" 2 1
1 8 0 "[RE] Relaxed" 1 1
1 1 1 NA NA NA
1 2 1 "[EX] Excitable" 2 1
1 3 1 "[EX] Excitable" 2 1
1 4 1 "[RE] Relaxed" 1 1
1 5 1 "[ST] Stressed" 4 1
1 6 1 "[ST+] Stressed+" 5 2
1 7 1 "[PL] Playful" 2 1
1 8 1 "[RE] Relaxed" 1 1
1 1 2 NA NA NA
1 2 2 "[RPNA] React to People Non-Aggressive" 9 2
1 3 2 NA NA NA
1 4 2 "[RE] Relaxed" 1 1
1 5 2 "[RPNA] React to People Non-Aggressive" 7 2
1 6 2 "[ST+] Stressed+" 5 2
1 7 2 "[PL] Playful" 2 1
1 8 2 "[RE] Relaxed" 1 1
1 1 3 NA NA NA
1 2 3 NA NA NA
1 3 3 "[FR] Friendly" 1 1
1 4 3 "[UAV] Uncomfortable Avoids" 5 2
1 5 3 "[RPNA] React to People Non-Aggressive" 7 2
1 6 3 "[UN] Unsure" 4 1
1 7 3 "[PL] Playful" 2 1
1 8 3 "[RE] Relaxed" 1 1
1 1 4 "[RDNA] React to Dogs Non-Aggressive" 9 2
1 2 4 NA NA NA
1 3 4 "[EX] Excitable" 2 1
1 4 4 "[RE] Relaxed" 1 1
1 5 4 "[ST] Stressed" 4 1
1 6 4 "[EX] Excitable" 2 1
1 7 4 NA NA NA
1 8 4 "[RE] Relaxed" 1 1
1 1 5 "[RDNA] React to Dogs Non-Aggressive" 9 2
1 2 5 NA NA NA
1 3 5 "[EX] Excitable" 2 1
1 4 5 "[RE] Relaxed" 1 1
1 5 5 "[ST] Stressed" 4 1
1 6 5 "[RE] Relaxed" 1 1
1 7 5 NA NA NA
1 8 5 "[RE] Relaxed" 1 1
1 1 6 "[PL] Playful" 2 1
1 2 6 NA NA NA
1 3 6 "[EX] Excitable" 2 1
1 4 6 "[RE] Relaxed" 1 1
1 5 6 "[ST] Stressed" 4 1
1 6 6 "[RE] Relaxed" 1 1
1 7 6 "[PL] Playful" 2 1
1 8 6 "[RE] Relaxed" 1 1
1 1 7 "[PL] Playful" 2 1
1 2 7 "[RPNA] React to People Non-Aggressive" 9 2
1 3 7 "[EX] Excitable" 2 1
1 4 7 "[EX] Excitable" 2 1
1 5 7 "[RE] Relaxed" 1 1
1 6 7 "[RE] Relaxed" 1 1
1 7 7 "[PL] Playful" 2 1
1 8 7 "[RE] Relaxed" 1 1
