"parameter_name","re_type","mu","hid_2.5","hid_97.5"
"Rho_j[1,1]","dogs",1,1,1
"Rho_j[2,1]","dogs",0.27639867493985,-0.181882,0.666087
"Rho_j[3,1]","dogs",-0.097465013214298,-0.382875,0.178312
"Rho_j[4,1]","dogs",0.17858114644963,-0.195068,0.537275
"Rho_j[5,1]","dogs",0.043448131218771,-0.339853,0.449618
"Rho_j[6,1]","dogs",-0.3804675425229,-0.71025,-0.0387136
"Rho_j[1,2]","dogs",0.27639867493985,-0.181882,0.666087
"Rho_j[2,2]","dogs",1,1,1
"Rho_j[3,2]","dogs",0.2809291294521,0.0120184,0.537015
"Rho_j[4,2]","dogs",-0.22796930711692,-0.600762,0.13783
"Rho_j[5,2]","dogs",-0.17539295783831,-0.574755,0.220051
"Rho_j[6,2]","dogs",-0.3605329803216,-0.689037,-0.0214799
"Rho_j[1,3]","dogs",-0.097465013214298,-0.382875,0.178312
"Rho_j[2,3]","dogs",0.2809291294521,0.0120184,0.537015
"Rho_j[3,3]","dogs",1,1,1
"Rho_j[4,3]","dogs",-0.087075380218115,-0.298469,0.128585
"Rho_j[5,3]","dogs",-0.08556132686283,-0.338919,0.152554
"Rho_j[6,3]","dogs",0.0512071255178052,-0.138687,0.226091
"Rho_j[1,4]","dogs",0.17858114644963,-0.195068,0.537275
"Rho_j[2,4]","dogs",-0.22796930711692,-0.600762,0.13783
"Rho_j[3,4]","dogs",-0.087075380218115,-0.298469,0.128585
"Rho_j[4,4]","dogs",1,1,1
"Rho_j[5,4]","dogs",0.30723467924559,-0.0121164,0.652998
"Rho_j[6,4]","dogs",0.247568029173346,-0.0695339,0.534003
"Rho_j[1,5]","dogs",0.043448131218771,-0.339853,0.449618
"Rho_j[2,5]","dogs",-0.17539295783831,-0.574755,0.220051
"Rho_j[3,5]","dogs",-0.08556132686283,-0.338919,0.152554
"Rho_j[4,5]","dogs",0.30723467924559,-0.0121164,0.652998
"Rho_j[5,5]","dogs",1,1,1
"Rho_j[6,5]","dogs",0.19427061416934,-0.141366,0.542526
"Rho_j[1,6]","dogs",-0.3804675425229,-0.71025,-0.0387136
"Rho_j[2,6]","dogs",-0.3605329803216,-0.689037,-0.0214799
"Rho_j[3,6]","dogs",0.0512071255178052,-0.138687,0.226091
"Rho_j[4,6]","dogs",0.247568029173346,-0.0695339,0.534003
"Rho_j[5,6]","dogs",0.19427061416934,-0.141366,0.542526
"Rho_j[6,6]","dogs",1,1,1
"Rho_g[1,1]","contexts",1,1,1
"Rho_g[2,1]","contexts",0.3230262270721,-0.121856,0.775746
"Rho_g[3,1]","contexts",0.20795906722123,-0.244524,0.654091
"Rho_g[4,1]","contexts",0.295195390700991,-0.154853,0.747125
"Rho_g[5,1]","contexts",0.15298662603252,-0.298212,0.635266
"Rho_g[6,1]","contexts",0.1402554519758,-0.420691,0.655785
"Rho_g[1,2]","contexts",0.3230262270721,-0.121856,0.775746
"Rho_g[2,2]","contexts",1,1,1
"Rho_g[3,2]","contexts",0.109039661583145,-0.358092,0.555083
"Rho_g[4,2]","contexts",0.165819194664545,-0.304144,0.627037
